index,timestamp,heart_wf,breath_wf,hr_fft,rr_fft,combined
69,26-11-2025 23:22,202.7344,58.5938,70.59,11.72,0.3913475849436774
70,26-11-2025 23:22,202.7344,58.5938,70.59,11.72,0.3913475849436774
71,26-11-2025 23:22,160.5469,59.7656,70.59,11.72,0.16199892815724026
72,26-11-2025 23:22,162.8906,60.9375,70.59,14.06,0.22207498217720167
73,26-11-2025 23:22,162.8906,60.9375,70.59,14.06,0.22207498217720167
74,26-11-2025 23:22,162.8906,60.9375,70.59,11.72,0.18052759347646674
75,26-11-2025 23:22,162.8906,60.9375,70.59,14.06,0.22207498217720167
76,26-11-2025 23:22,164.0625,60.9375,70.59,11.72,0.18705081507161236
77,26-11-2025 23:22,164.0625,60.9375,70.59,14.06,0.2285982037723473
78,26-11-2025 23:23,130.0781,60.9375,70.59,11.72,-0.0021187147330369305
79,26-11-2025 23:23,130.0781,60.9375,54.55,11.72,-0.05820277390672757
80,26-11-2025 23:23,130.0781,60.9375,54.55,11.72,-0.05820277390672757
81,26-11-2025 23:23,158.2031,63.2812,66.67,11.72,0.15169402473318638
82,26-11-2025 23:23,205.0781,63.2812,54.55,11.72,0.3702395916775083
83,26-11-2025 23:23,158.2031,63.2812,54.55,11.72,0.10931629423536027
84,26-11-2025 23:23,205.0781,63.2812,54.55,14.06,0.41178698037824346
85,26-11-2025 23:23,205.0781,63.2812,54.55,11.72,0.3702395916775083
86,26-11-2025 23:23,103.125,63.2812,54.55,14.06,-0.15572105239933687
87,26-11-2025 23:23,96.0938,63.2812,54.55,11.72,-0.2364066573982101
88,26-11-2025 23:23,96.0938,63.2812,54.55,14.06,-0.19485926869747516
89,26-11-2025 23:23,103.125,63.2812,54.55,11.72,-0.1972684411000718
90,26-11-2025 23:23,103.125,63.2812,54.55,11.72,-0.1972684411000718
91,26-11-2025 23:23,96.0938,63.2812,54.55,14.06,-0.19485926869747516
92,26-11-2025 23:23,101.9531,63.2812,54.55,11.72,-0.2037916626952173
93,26-11-2025 23:23,101.9531,63.2812,54.55,14.06,-0.16224427399448238
94,26-11-2025 23:23,101.9531,63.2812,54.55,14.06,-0.16224427399448238
95,26-11-2025 23:23,121.875,62.1094,54.55,11.72,-0.09838143303470837
96,26-11-2025 23:39,138.2812,94.9219,109.09,7.03,0.25388343009927783
97,26-11-2025 23:39,138.2812,94.9219,109.09,9.38,0.29560837174317833
98,26-11-2025 23:39,138.2812,94.9219,109.09,11.72,0.3371557604439135
99,26-11-2025 23:39,138.2812,94.9219,120.0,11.72,0.37530271091679146
100,26-11-2025 23:39,138.2812,94.9219,120.0,11.72,0.37530271091679146
101,26-11-2025 23:39,134.7656,117.1875,120.0,14.06,0.5014514487401802
102,26-11-2025 23:39,134.7656,117.1875,120.0,16.41,0.5431763903840805
103,26-11-2025 23:39,134.7656,117.1875,120.0,14.06,0.5014514487401802
104,26-11-2025 23:39,134.7656,117.1875,120.0,16.41,0.5431763903840805
105,26-11-2025 23:39,134.7656,117.1875,120.0,14.06,0.5014514487401802
106,26-11-2025 23:39,134.7656,117.1875,120.0,16.41,0.5431763903840805
107,26-11-2025 23:39,134.7656,117.1875,120.0,14.06,0.5014514487401802
108,26-11-2025 23:39,134.7656,117.1875,120.0,16.41,0.5431763903840805
109,26-11-2025 23:39,134.7656,117.1875,63.16,16.41,0.3444346245840444
110,26-11-2025 23:39,134.7656,117.1875,63.16,14.06,0.3027096829401439
111,26-11-2025 23:39,119.5312,66.7969,60.0,14.06,-0.028893847642507242
112,26-11-2025 23:39,119.5312,66.7969,60.0,11.72,-0.07044123634324218
113,26-11-2025 23:39,132.4219,65.625,60.0,14.06,0.03737769786605649
114,26-11-2025 23:39,132.4219,65.625,70.59,14.06,0.07440576436539459
115,26-11-2025 23:39,132.4219,66.7969,70.59,11.72,0.038341154429962776
116,26-11-2025 23:39,132.4219,66.7969,70.59,14.06,0.07988854313069749
117,26-11-2025 23:39,132.4219,66.7969,70.59,11.72,0.038341154429962776
118,26-11-2025 23:39,132.4219,66.7969,70.59,11.72,0.038341154429962776
119,26-11-2025 23:39,132.4219,66.7969,70.59,11.72,0.038341154429962776
120,26-11-2025 23:39,132.4219,66.7969,70.59,14.06,0.07988854313069749
121,26-11-2025 23:39,131.25,67.9688,70.59,11.72,0.03730071160012005
122,26-11-2025 23:39,131.25,67.9688,70.59,11.72,0.03730071160012005
123,26-11-2025 23:39,131.25,67.9688,70.59,14.06,0.07884810030085498
124,26-11-2025 23:39,131.25,67.9688,70.59,11.72,0.03730071160012005
125,26-11-2025 23:45,107.8125,107.8125,52.17,7.03,-0.05442875885644305
126,26-11-2025 23:45,107.8125,107.8125,52.17,7.03,-0.05442875885644305
127,26-11-2025 23:45,107.8125,106.6406,52.17,7.03,-0.05991153762174617
128,26-11-2025 23:45,131.25,106.6406,54.55,7.03,0.07887181065253146
129,26-11-2025 23:45,131.25,105.4688,54.55,9.38,0.11511444138493587
130,26-11-2025 23:45,132.4219,103.125,54.55,9.38,0.11067210544947548
131,26-11-2025 23:45,128.9062,110.1562,54.55,11.72,0.16554556624897754
132,26-11-2025 23:45,101.9531,101.9531,54.55,14.06,0.018683682430062243
133,26-11-2025 23:45,101.9531,101.9531,57.14,14.06,0.02773964959090125
134,26-11-2025 23:45,101.9531,101.9531,57.14,14.06,0.02773964959090125
135,26-11-2025 23:45,219.1406,110.1562,54.55,14.06,0.7093704416849393
136,26-11-2025 23:45,110.1562,63.2812,54.55,16.41,-0.07485789445729796
137,26-11-2025 23:45,110.1562,63.2812,54.55,16.41,-0.07485789445729796
138,26-11-2025 23:45,110.1562,63.2812,54.55,14.06,-0.11658283610119846
139,26-11-2025 23:45,110.1562,52.7344,54.55,14.06,-0.1659264414275049
140,26-11-2025 23:45,110.1562,56.25,54.55,16.41,-0.10775363134150218
141,26-11-2025 23:45,110.1562,56.25,54.55,14.06,-0.14947857298540268
142,26-11-2025 23:46,219.1406,56.25,50.0,14.06,0.4412591012279121
143,26-11-2025 23:46,219.1406,56.25,50.0,16.41,0.4829840428718126
144,26-11-2025 23:46,219.1406,56.25,50.0,14.06,0.4412591012279121
145,26-11-2025 23:46,219.1406,56.25,50.0,14.06,0.4412591012279121
146,26-11-2025 23:46,219.1406,51.5625,60.0,14.06,0.4542935781936308
147,26-11-2025 23:46,219.1406,51.5625,60.0,14.06,0.4542935781936308
148,26-11-2025 23:46,219.1406,51.5625,60.0,16.41,0.4960185198375313
149,26-11-2025 23:46,111.3281,56.25,60.0,14.06,-0.12389935871590452
150,26-11-2025 23:46,111.3281,56.25,60.0,16.41,-0.08217441707200401
151,26-11-2025 23:46,111.3281,56.25,50.0,16.41,-0.11713954124512793
152,26-11-2025 23:46,111.3281,56.25,50.0,16.41,-0.11713954124512793
153,26-11-2025 23:46,111.3281,51.5625,50.0,14.06,-0.18079513009643355
154,26-11-2025 23:46,154.6875,51.5625,50.0,16.41,0.1022840008405459
155,26-11-2025 23:46,140.625,51.5625,50.0,14.06,-0.017717930035999196
156,26-11-2025 23:46,140.625,51.5625,50.0,16.41,0.02400701160790142
157,26-11-2025 23:46,140.625,51.5625,50.0,16.41,0.02400701160790142
158,26-11-2025 23:46,140.625,51.5625,50.0,14.06,-0.017717930035999196
159,26-11-2025 23:46,140.625,51.5625,50.0,16.41,0.02400701160790142
160,26-11-2025 23:46,140.625,51.5625,50.0,14.06,-0.017717930035999196
161,26-11-2025 23:46,140.625,51.5625,50.0,16.41,0.02400701160790142
162,26-11-2025 23:46,140.625,51.5625,50.0,14.06,-0.017717930035999196
163,26-11-2025 23:46,140.625,51.5625,50.0,16.41,0.02400701160790142
164,26-11-2025 23:46,140.625,51.5625,50.0,16.41,0.02400701160790142
165,26-11-2025 23:46,140.625,51.5625,50.0,14.06,-0.017717930035999196
166,26-11-2025 23:46,140.625,51.5625,50.0,16.41,0.02400701160790142
167,26-11-2025 23:46,140.625,51.5625,50.0,14.06,-0.017717930035999196
168,26-11-2025 23:46,140.625,55.0781,50.0,14.06,-0.0012700615938970872
169,26-11-2025 23:49,219.1406,48.0469,54.55,7.03,0.2939699980318058
170,26-11-2025 23:49,219.1406,48.0469,57.14,7.03,0.3030259651926448
171,26-11-2025 23:49,219.1406,48.0469,57.14,7.03,0.3030259651926448
172,26-11-2025 23:49,171.0938,48.0469,57.14,9.38,0.0773049444356193
173,26-11-2025 23:49,171.0938,48.0469,57.14,9.38,0.0773049444356193
174,26-11-2025 23:49,172.2656,107.8125,60.0,9.38,0.3734432698388752
175,26-11-2025 23:49,173.4375,106.6406,57.14,9.38,0.3644836871552044
176,26-11-2025 23:49,173.4375,106.6406,57.14,11.72,0.40603107585593934
177,26-11-2025 23:49,173.4375,106.6406,57.14,11.72,0.40603107585593934
178,26-11-2025 23:49,106.6406,106.6406,57.14,11.72,0.03421523784178615
179,26-11-2025 23:49,106.6406,106.6406,57.14,14.06,0.0757626265425213
180,26-11-2025 23:49,106.6406,106.6406,57.14,16.41,0.11748756818642181
181,26-11-2025 23:49,106.6406,106.6406,54.55,14.06,0.06670665938168208
182,26-11-2025 23:49,106.6406,106.6406,54.55,14.06,0.06670665938168208
183,26-11-2025 23:49,106.6406,106.6406,57.14,14.06,0.0757626265425213
184,26-11-2025 23:49,106.6406,106.6406,57.14,16.41,0.11748756818642181
185,26-11-2025 23:49,106.6406,106.6406,57.14,16.41,0.11748756818642181
186,26-11-2025 23:49,106.6406,106.6406,57.14,14.06,0.0757626265425213
187,26-11-2025 23:49,106.6406,106.6406,57.14,16.41,0.11748756818642181
188,26-11-2025 23:49,106.6406,106.6406,57.14,14.06,0.0757626265425213
189,26-11-2025 23:49,106.6406,106.6406,57.14,16.41,0.11748756818642181
190,26-11-2025 23:49,106.6406,106.6406,57.14,16.41,0.11748756818642181
