Run Number,Average Heart Rate,,,Other Statistics,,,Configuration
,From Sensor,From Smartwatch,From Body (Pulse Count),Average Respiration Rate,Average Distance,Distance Std Dev,
74,75,78,82,13.5,0.373,0.038,1
75,57.1,92,88,14.8,0.743,0,1
76,53.1,79,74,12.7,0.801,0.261,1
77,66.7,83,82,11.4,0.393,0.018,1
78,63.2,92,88,14.4,0.366,0,1
79,50,89,88,14.3,0.696,0,1
80,66.7,89,84,11.3,1.485,0,1
81,70.6,88,82,14.5,1.019,0,1
82,60,91,84,14.1,0.513,0.045,1
83,69.9,86,80,11.8,0.553,0.024,1
84,60.6,84,84,14,0.418,0.042,1
85,54.5,79,80,12.6,0.574,0,1
86,51.2,79,82,13.1,0.614,0.126,1
87,50,81,80,14.4,0.534,0,1
88,61.8,81,90,14.9,0.673,0.061,1
89,50,87,86,13.5,0.247,0,1
90,70.6,98,90,13.8,0.61,0,1
91,63.2,80,78,15.3,0.645,0.17,1
92,57.1,78,84,15.5,0.331,0.048,1
93,64.8,81,82,14.6,0.329,0.014,1
94,84.8,79,88,16.2,0.816,0.127,1
95,72.9,82,88,15.1,0.281,0.036,1
96,54.5,83,80,14.5,0.946,0.17,1
97,54,77,84,14.5,0.445,0.009,1
98,50.1,94,88,12.8,0.473,0.028,1
99,50,79,82,13.4,0.442,0.049,1
100,50,84,84,14.7,0.302,0.032,1
101,50,91,94,13.1,0.914,0.001,1
102,60.1,101,96,11.3,0.798,0.039,1
103,63.3,97,98,15.1,0.361,0.022,1
104,66.4,96,88,13.7,0.28,0.018,1
105,50,84,92,13,0.362,0.067,1
106,52.3,87,94,13.4,0.931,0.072,1
107,59.4,87,92,13.2,0.29,0.014,1
108,82.3,89,94,12.9,0.379,0.011,1
109,82.3,101,96,13.5,0.326,0.008,1
110,88.2,91,96,12.7,1.21,0.298,1
111,60.2,95,92,14.2,0.735,0.418,1
112,109.1,89,94,15.7,0.75,0.137,1
113,50,94,98,14.4,0.359,0.002,1
114,75.9,84,86,15.9,0.52,0.473,1
115,61.5,88,92,14.3,0.331,0,0
116,75.3,85,86,15.1,1.001,0.176,0
117,75,84,88,14.1,0.336,0.136,0
118,75,82,74,14.3,0.502,0.053,0
119,79.5,82,82,14.2,0.544,0.038,0
120,70.6,79,80,13,0.502,0.051,0
121,64.6,87,88,13.5,0.408,0.03,0
122,92.3,89,92,15.4,0.559,0.063,0
123,53.3,79,80,14,0.39,0.021,0
124,66.4,84,82,12.7,0.25,0.03,0
125,66.7,83,90,10.7,0.828,0.001,0
