Timestamp,Run,Rows,Avg_HR_clean,Avg_RR_clean,Avg_Range,Range_SD,HR_SD,RR_SD,HR_P2P,RR_P2P,Range_Slope,SQI,Final_Accurate_HR,HR_Class,RR_Class,Stress_Class
26-11-2025 22:28,1,43,60.99326786970277,11.446225804747998,0.38026570688237604,0.05432359187803984,10.318749262010675,1.613562179052443,40.723616544878816,5.891019533578443,-7.364483448260776e-05,18.408208393971226,80.81390279033769,Normal,Low,Very High Stress
26-11-2025 22:38,2,38,112.35593212258827,13.327636326098762,0.6417460185499543,0.14911926329097597,11.293139953497985,0.9089695806348282,38.40411176709421,2.8880642638183414,0.011498025322104382,6.706041714065493,132.1765670432232,High,Normal,Very High Stress
26-11-2025 22:40,3,30,70.03242895478213,13.219522085310434,0.3501182930616945,0.10074712116295423,4.144622525583162,0.8772123533242409,16.97707327687317,3.137128326158207,-0.00736574026204354,9.925841934307405,89.85306387541706,Normal,Normal,Very High Stress
26-11-2025 22:42,4,45,63.019778021906355,12.718786316404877,0.536137511047304,0.10130199571257507,7.248831639236837,1.5862997670429668,21.89199779459971,4.508294135212147,0.0076561163835332634,9.871473833914463,82.84041294254128,Normal,Normal,Very High Stress
26-11-2025 22:43,5,41,74.97117135850463,13.618846886655863,0.5487753380001611,0.12602558286111704,2.8404212740728387,1.3366879970238914,10.685524000172862,3.6931730826734785,-0.009175573006011786,7.934896846317481,94.79180627913956,Elevated,Normal,Very High Stress
26-11-2025 22:46,6,39,77.86492380467972,13.285722444427302,0.5947549346128119,0.09566079693131439,9.66624160080296,1.1303656231372772,25.391233786228824,3.2568172631855177,-0.0058996820878874775,10.453603064983998,97.68555872531465,Elevated,Normal,Very High Stress
26-11-2025 22:51,7,36,63.97624779270551,14.108961760120387,0.8352860408341799,0.08360205344440248,5.91345381629975,1.3430894758880283,23.753622874891555,3.7685537905597677,0.004300720855473155,11.961428682670165,83.79688271334044,Normal,Normal,Very High Stress
26-11-2025 22:53,8,40,75.03708121873885,13.643416981632067,0.6504392130197776,0.1944087926214088,17.443369045249604,1.2388280920666022,45.402091854953525,3.5579335576415865,0.01159776716492088,5.143800270121514,94.85771613937376,Elevated,Normal,Very High Stress
26-11-2025 22:55,9,40,85.10190920919176,14.316183673443373,0.5053237560136644,0.13459301068353452,8.947282060714963,0.995555315045372,30.171129290794084,2.9680656025239003,-0.002030012259680137,7.429806309565935,104.92254412982669,Elevated,Normal,Very High Stress
26-11-2025 22:56,10,38,57.56297017507259,14.147521686193748,0.5817518129693934,0.06950251746663307,9.515404647670668,1.2456353261997781,29.318786137546432,4.331767447135034,-0.006068270926992056,14.387968039863914,77.38360509570751,Normal,Normal,Very High Stress
26-11-2025 22:58,11,34,78.50380360437237,12.327168902532891,0.37799947103277676,0.07328333654915359,3.5624607812294107,0.8894971578653645,14.002162391480567,2.515608083155586,-0.0008742508374986188,13.645666901769225,98.32443852500728,Elevated,Normal,Very High Stress
26-11-2025 23:00,12,32,103.69100861576995,12.24197157750654,0.6210659365695345,0.04445927941911377,9.510698514186124,0.571467685570425,32.75413222187615,1.674059909357819,-0.0022798611691578594,22.492492300045775,123.51164353640488,High,Normal,Very High Stress
26-11-2025 23:03,13,44,62.6731617495597,13.545995176230234,0.4588845431197981,0.1354055129267187,5.2488436117487005,1.2417165992183203,21.02619525878334,3.780355569257159,-0.00888217389631935,7.385223676536706,82.49379667019463,Normal,Normal,Very High Stress
26-11-2025 23:11,14,32,71.31980353957866,11.38936439124251,0.6187567170018944,0.11714523884507146,7.584170494709429,0.8292066630427456,29.69250596024328,2.398655196542844,0.012273620179732334,8.536411806906928,91.14043846021357,Elevated,Low,Very High Stress
26-11-2025 23:17,15,32,80.22103392930481,13.745530962143853,0.5062670703700826,0.20119870404758258,19.501086062280354,1.253929953744502,48.968418881235934,3.9514914214619807,-0.01860718343887396,4.970210940143553,100.04166884993973,Elevated,Normal,Very High Stress
26-11-2025 23:22,16,32,64.68181309607712,11.73400263677422,0.6294753754147846,0.11344272954521417,6.3285750906508715,0.5740253286896887,24.93039632864727,1.9358050342138498,-0.0064560225282044355,8.81502061885276,84.50244801671204,Normal,Low,Very High Stress
26-11-2025 23:39,17,29,85.16780894365726,13.07917546542758,0.46449370709013604,0.023647960284468857,14.545503476107896,1.1593232665371243,43.019266531667746,3.5467628783885345,0.002032764949399953,42.286945172889375,104.98844386429218,Elevated,Normal,Very High Stress
26-11-2025 23:45,18,44,53.26235657271994,13.875445948390974,0.626063437604223,0.10637621631154205,1.4568587269630895,2.0294810100727743,6.192575900773996,5.887426512681447,0.003808390808194759,9.400597564697343,73.08299149335485,Normal,Normal,Very High Stress
26-11-2025 23:49,19,41,59.905378701978385,13.984616202584878,0.8829622309257708,0.19691187749954492,6.931298629178432,1.7711788346075885,22.961323998482108,5.010666122013145,0.0012209952517925737,5.078413819919579,79.72601362261331,Normal,Normal,Very High Stress
26-11-2025 23:51,20,30,79.23815450874413,12.612844960308472,0.4647084982866305,0.05890583930817195,1.220883727399964,0.6420962305975025,3.9179786286568827,1.7121255447691475,-0.006311988978155857,16.97624567860577,99.05878942937906,Elevated,Normal,Very High Stress
27-11-2025 00:00,21,24,66.76317120584855,13.602131073692524,0.5465687208825488,0.0439538081801298,7.6958959004038885,0.06554103377027336,25.439101649472022,0.20690893036428193,0.003141065259304238,22.75115721263192,86.58380612648347,Normal,Normal,Very High Stress
