Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
0.70,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
0.75,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
0.81,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
0.84,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
0.90,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
0.95,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.00,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.05,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.11,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.15,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.43,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.43,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.43,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.43,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.43,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.45,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.50,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.56,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.59,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.65,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.73,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.76,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.80,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.86,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.91,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
1.95,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.00,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.05,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.10,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.16,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.21,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.25,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.31,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.35,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.39,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.46,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.50,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.54,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.61,133.33,7.03,1.000,142.9688,119.5312,133.33,7.03
2.65,60.00,7.03,1.000,142.9688,119.5312,60.00,7.03
2.73,60.00,7.03,1.000,142.9688,119.5312,60.00,7.03
2.76,60.00,9.38,1.000,142.9688,119.5312,60.00,9.38
2.80,60.00,9.38,1.000,142.9688,119.5312,60.00,9.38
2.85,60.00,9.38,0.243,142.9688,119.5312,60.00,9.38
2.91,60.00,9.38,0.243,142.9688,119.5312,60.00,9.38
2.95,60.00,9.38,0.243,142.9688,119.5312,60.00,9.38
3.00,60.00,9.38,0.243,142.9688,119.5312,60.00,9.38
3.06,60.00,9.38,0.243,142.9688,119.5312,60.00,9.38
3.09,60.00,9.38,0.243,142.9688,119.5312,60.00,9.38
3.14,60.00,9.38,0.243,142.9688,119.5312,60.00,9.38
3.20,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.25,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.29,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.36,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.40,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.45,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.51,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.55,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.59,60.00,9.38,0.243,110.1562,110.1562,60.00,9.38
3.66,54.55,9.38,0.243,110.1562,110.1562,54.55,9.38
3.76,54.55,9.38,0.243,110.1562,110.1562,54.55,9.38
3.76,54.55,9.38,0.243,110.1562,110.1562,54.55,9.38
3.80,54.55,9.38,0.243,110.1562,110.1562,54.55,9.38
3.85,54.55,9.38,0.447,110.1562,110.1562,54.55,9.38
3.90,54.55,9.38,0.447,110.1562,110.1562,54.55,9.38
3.95,54.55,9.38,0.447,110.1562,110.1562,54.55,9.38
4.00,54.55,9.38,0.447,110.1562,110.1562,54.55,9.38
4.04,54.55,9.38,0.447,110.1562,110.1562,54.55,9.38
4.11,54.55,9.38,0.447,110.1562,110.1562,54.55,9.38
4.15,54.55,9.38,0.447,110.1562,110.1562,54.55,9.38
4.27,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.27,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.30,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.35,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.41,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.44,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.50,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.56,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.59,54.55,9.38,0.447,107.8125,107.8125,54.55,9.38
4.65,52.17,9.38,0.447,107.8125,107.8125,52.17,9.38
4.74,52.17,9.38,0.447,107.8125,107.8125,52.17,9.38
4.76,52.17,9.38,0.447,107.8125,107.8125,52.17,9.38
4.80,52.17,9.38,0.447,107.8125,107.8125,52.17,9.38
4.86,52.17,9.38,0.549,107.8125,107.8125,52.17,9.38
4.89,52.17,9.38,0.549,107.8125,107.8125,52.17,9.38
4.95,52.17,9.38,0.549,107.8125,107.8125,52.17,9.38
5.00,52.17,9.38,0.549,107.8125,107.8125,52.17,9.38
5.05,52.17,9.38,0.549,107.8125,107.8125,52.17,9.38
5.09,52.17,9.38,0.549,107.8125,107.8125,52.17,9.38
5.16,52.17,9.38,0.549,107.8125,107.8125,52.17,9.38
5.23,52.17,9.38,0.549,99.6094,99.6094,52.17,9.38
5.25,52.17,9.38,0.549,99.6094,99.6094,52.17,9.38
5.31,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.34,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.40,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.46,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.49,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.54,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.61,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.65,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.72,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.76,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.80,52.17,11.72,0.549,99.6094,99.6094,52.17,11.72
5.84,52.17,11.72,0.576,99.6094,99.6094,52.17,11.72
5.91,52.17,11.72,0.576,99.6094,99.6094,52.17,11.72
5.95,52.17,11.72,0.576,99.6094,99.6094,52.17,11.72
6.00,52.17,11.72,0.576,99.6094,99.6094,52.17,11.72
6.06,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.10,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.14,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.22,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.25,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.30,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.36,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.39,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.45,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
6.50,52.17,11.72,0.576,101.9531,101.9531,52.17,11.72
