Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.47,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.51,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.57,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.62,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.66,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.72,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.77,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.81,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.87,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
2.92,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.00,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.02,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.07,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.11,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.17,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.22,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.26,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.32,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.37,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.41,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.47,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.52,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.56,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.62,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.67,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.71,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.77,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.82,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.86,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.92,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
3.97,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
4.01,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
4.07,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
4.12,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
4.16,133.33,7.03,0.214,99.6094,48.0469,133.33,7.03
4.22,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.27,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.31,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.37,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.42,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.48,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.52,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.57,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.61,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.67,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.72,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.76,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.82,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.87,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.91,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
4.97,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.02,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.06,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.12,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.17,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.21,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.27,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.32,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.36,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.42,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.53,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.53,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.57,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.62,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.66,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.72,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.77,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.81,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.87,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
5.92,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.03,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.03,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.07,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.11,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.17,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.22,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.26,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.32,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.37,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.41,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.51,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.52,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.56,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.62,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.67,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.71,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.77,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.82,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.86,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
6.92,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.02,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.02,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.07,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.12,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.16,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.22,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.27,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.31,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.37,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.42,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.51,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.52,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.57,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.61,133.33,9.38,0.214,99.6094,48.0469,133.33,9.38
7.67,133.33,11.72,0.214,99.6094,48.0469,133.33,11.72
7.72,133.33,11.72,0.214,99.6094,48.0469,133.33,11.72
7.76,133.33,11.72,0.214,99.6094,48.0469,133.33,11.72
7.82,133.33,11.72,0.214,99.6094,48.0469,133.33,11.72
7.87,133.33,11.72,0.214,99.6094,48.0469,133.33,11.72
7.91,66.67,11.72,0.218,99.6094,48.0469,66.67,11.72
8.02,66.67,11.72,0.221,99.6094,48.0469,66.67,11.72
8.02,66.67,11.72,0.225,99.6094,48.0469,66.67,11.72
8.06,66.67,11.72,0.228,99.6094,48.0469,66.67,11.72
8.12,66.67,11.72,0.232,99.6094,48.0469,66.67,11.72
8.17,66.67,11.72,0.235,99.6094,48.0469,66.67,11.72
8.21,66.67,11.72,0.239,99.6094,48.0469,66.67,11.72
8.27,66.67,11.72,0.242,99.6094,48.0469,66.67,11.72
8.32,66.67,11.72,0.242,212.1094,93.7500,66.67,11.72
8.36,66.67,11.72,0.242,212.1094,93.7500,66.67,11.72
8.42,66.67,11.72,0.242,212.1094,93.7500,66.67,11.72
8.56,66.67,11.72,0.242,212.1094,93.7500,66.67,11.72
8.56,66.67,11.72,0.242,212.1094,93.7500,66.67,11.72
