Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.78,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
2.89,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.00,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.11,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.22,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.33,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.46,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.57,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.68,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.79,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
3.92,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
4.03,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
4.16,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
4.28,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
4.41,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
4.55,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
4.68,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
4.80,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
4.92,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
5.04,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
5.17,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
5.34,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
5.47,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
5.60,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
5.72,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
5.85,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
5.97,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
6.10,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
6.23,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
6.35,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
6.47,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
6.59,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
6.72,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
6.83,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
6.96,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.07,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.18,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.30,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.40,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.51,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.62,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.74,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.84,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
7.97,70.59,7.03,0.100,193.3594,79.6875,70.59,7.03
8.08,75.00,7.03,0.100,193.3594,79.6875,75.00,7.03
8.19,75.00,7.03,0.100,193.3594,79.6875,75.00,7.03
8.31,75.00,7.03,0.100,193.3594,79.6875,75.00,7.03
8.40,75.00,7.03,0.100,193.3594,79.6875,75.00,7.03
8.52,75.00,7.03,0.100,193.3594,79.6875,75.00,7.03
8.61,75.00,7.03,0.100,193.3594,79.6875,75.00,7.03
8.72,75.00,7.03,0.100,193.3594,79.6875,75.00,7.03
8.84,75.00,7.03,0.100,193.3594,79.6875,75.00,7.03
8.95,75.00,7.03,0.100,203.9062,83.2031,75.00,7.03
9.05,75.00,7.03,0.100,203.9062,83.2031,75.00,7.03
9.16,75.00,7.03,0.100,203.9062,83.2031,75.00,7.03
9.27,75.00,9.38,0.100,203.9062,83.2031,75.00,9.38
9.39,75.00,9.38,0.100,203.9062,83.2031,75.00,9.38
9.50,75.00,9.38,0.100,203.9062,83.2031,75.00,9.38
9.60,75.00,9.38,0.100,203.9062,83.2031,75.00,9.38
9.73,75.00,9.38,0.100,203.9062,83.2031,75.00,9.38
9.86,75.00,9.38,0.100,203.9062,83.2031,75.00,9.38
9.97,75.00,9.38,0.100,203.9062,83.2031,75.00,9.38
