Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
0.76,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
0.98,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
1.17,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
1.38,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
1.55,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
1.74,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
1.92,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
2.32,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
2.53,133.33,7.03,0.357,94.9219,46.8750,133.33,7.03
2.72,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
2.91,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.10,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.26,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.45,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.70,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.89,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
4.03,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
4.19,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
4.37,133.33,7.03,0.460,94.9219,46.8750,133.33,7.03
4.53,133.33,7.03,0.342,94.9219,46.8750,133.33,7.03
4.67,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
4.85,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
5.00,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
5.16,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
5.31,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
5.48,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
5.64,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
5.80,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
5.98,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
6.13,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
6.29,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
6.45,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
6.60,70.59,7.03,1.000,94.9219,46.8750,70.59,7.03
6.80,70.59,7.03,1.000,94.9219,46.8750,70.59,7.03
6.98,70.59,7.03,1.000,94.9219,46.8750,70.59,7.03
7.14,70.59,7.03,1.000,94.9219,46.8750,70.59,7.03
7.31,70.59,7.03,0.428,94.9219,46.8750,70.59,7.03
7.46,70.59,7.03,0.453,94.9219,46.8750,70.59,7.03
7.61,70.59,7.03,1.000,94.9219,46.8750,70.59,7.03
7.76,70.59,9.38,1.000,94.9219,46.8750,70.59,9.38
7.92,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
8.08,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
8.24,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
8.39,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
8.54,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
8.70,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
8.85,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
9.00,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
9.15,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
9.32,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
9.48,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
9.65,70.59,9.38,1.000,171.0938,46.8750,70.59,9.38
9.81,63.16,9.38,1.000,171.0938,46.8750,63.16,9.38
9.94,63.16,9.38,1.000,171.0938,46.8750,63.16,9.38
