Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.41,133.33,7.03,0.443,142.9688,94.9219,133.33,7.03
2.46,133.33,7.03,0.443,142.9688,94.9219,133.33,7.03
2.50,133.33,7.03,0.443,142.9688,94.9219,133.33,7.03
2.56,133.33,7.03,0.443,142.9688,94.9219,133.33,7.03
2.61,50.00,7.03,0.453,142.9688,94.9219,50.00,7.03
2.65,50.00,7.03,0.462,142.9688,94.9219,50.00,7.03
2.71,50.00,7.03,0.471,142.9688,94.9219,50.00,7.03
2.76,50.00,7.03,0.481,142.9688,94.9219,50.00,7.03
2.80,50.00,7.03,0.490,142.9688,94.9219,50.00,7.03
2.86,50.00,7.03,0.499,142.9688,94.9219,50.00,7.03
2.93,50.00,7.03,0.509,142.9688,94.9219,50.00,7.03
2.95,50.00,7.03,0.518,142.9688,94.9219,50.00,7.03
3.01,50.00,7.03,0.518,147.6562,94.9219,50.00,7.03
3.06,50.00,7.03,0.518,147.6562,94.9219,50.00,7.03
3.10,50.00,7.03,0.518,147.6562,94.9219,50.00,7.03
3.16,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.21,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.25,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.31,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.36,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.43,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.46,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.51,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.55,50.00,7.03,0.518,147.6562,78.5156,50.00,7.03
3.61,50.00,7.03,0.769,147.6562,78.5156,50.00,7.03
3.66,50.00,7.03,1.020,147.6562,78.5156,50.00,7.03
3.70,50.00,7.03,1.271,147.6562,78.5156,50.00,7.03
3.76,50.00,7.03,1.522,147.6562,78.5156,50.00,7.03
3.81,50.00,7.03,1.772,147.6562,78.5156,50.00,7.03
3.85,50.00,7.03,2.023,147.6562,78.5156,50.00,7.03
3.91,50.00,7.03,2.274,147.6562,78.5156,50.00,7.03
3.96,50.00,7.03,2.525,147.6562,78.5156,50.00,7.03
4.00,50.00,7.03,2.525,147.6562,78.5156,50.00,7.03
4.06,50.00,7.03,2.525,147.6562,78.5156,50.00,7.03
4.11,50.00,7.03,2.525,147.6562,78.5156,50.00,7.03
4.15,50.00,7.03,2.525,146.4844,49.2188,50.00,7.03
4.21,50.00,7.03,2.525,146.4844,49.2188,50.00,7.03
4.26,50.00,9.38,2.525,146.4844,49.2188,50.00,9.38
4.30,50.00,9.38,2.525,146.4844,49.2188,50.00,9.38
4.36,50.00,9.38,2.525,146.4844,49.2188,50.00,9.38
4.41,50.00,9.38,2.525,146.4844,49.2188,50.00,9.38
4.45,50.00,9.38,2.525,146.4844,49.2188,50.00,9.38
4.51,50.00,9.38,2.525,146.4844,49.2188,50.00,9.38
4.56,50.00,9.38,2.525,146.4844,49.2188,50.00,9.38
4.60,50.00,9.38,2.238,146.4844,49.2188,50.00,9.38
4.66,50.00,9.38,1.951,146.4844,49.2188,50.00,9.38
4.71,50.00,9.38,1.664,146.4844,49.2188,50.00,9.38
4.75,50.00,9.38,1.377,146.4844,49.2188,50.00,9.38
4.81,50.00,9.38,1.090,146.4844,49.2188,50.00,9.38
4.86,50.00,9.38,0.802,146.4844,49.2188,50.00,9.38
4.93,50.00,9.38,0.515,146.4844,49.2188,50.00,9.38
4.96,50.00,9.38,0.228,146.4844,49.2188,50.00,9.38
5.01,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.05,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.11,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.16,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.20,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.26,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.31,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.35,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.41,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.46,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.50,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.56,50.00,9.38,0.228,146.4844,65.6250,50.00,9.38
5.61,66.67,9.38,0.351,146.4844,65.6250,66.67,9.38
5.65,66.67,9.38,0.475,146.4844,65.6250,66.67,9.38
5.71,66.67,9.38,0.598,146.4844,65.6250,66.67,9.38
5.76,66.67,9.38,0.721,146.4844,65.6250,66.67,9.38
5.80,66.67,9.38,0.844,146.4844,65.6250,66.67,9.38
5.86,66.67,9.38,0.967,146.4844,65.6250,66.67,9.38
5.94,66.67,9.38,1.090,146.4844,65.6250,66.67,9.38
5.95,66.67,9.38,1.213,146.4844,65.6250,66.67,9.38
6.01,66.67,9.38,1.213,146.4844,65.6250,66.67,9.38
6.06,66.67,9.38,1.213,146.4844,65.6250,66.67,9.38
6.10,66.67,9.38,1.213,146.4844,65.6250,66.67,9.38
6.16,66.67,9.38,1.213,141.7969,50.3906,66.67,9.38
6.21,66.67,9.38,1.213,141.7969,50.3906,66.67,9.38
6.25,66.67,9.38,1.213,141.7969,50.3906,66.67,9.38
6.31,66.67,9.38,1.213,141.7969,50.3906,66.67,9.38
6.36,66.67,9.38,1.213,141.7969,50.3906,66.67,9.38
6.40,66.67,9.38,1.213,141.7969,50.3906,66.67,9.38
6.46,66.67,11.72,1.213,141.7969,50.3906,66.67,11.72
6.51,66.67,11.72,1.213,141.7969,50.3906,66.67,11.72
6.55,66.67,11.72,1.213,141.7969,50.3906,66.67,11.72
6.61,66.67,11.72,1.167,141.7969,50.3906,66.67,11.72
6.66,66.67,11.72,1.121,141.7969,50.3906,66.67,11.72
6.70,66.67,11.72,1.075,141.7969,50.3906,66.67,11.72
6.76,66.67,11.72,1.029,141.7969,50.3906,66.67,11.72
6.81,66.67,11.72,0.983,141.7969,50.3906,66.67,11.72
6.85,66.67,11.72,0.936,141.7969,50.3906,66.67,11.72
6.91,66.67,11.72,0.890,141.7969,50.3906,66.67,11.72
6.96,66.67,11.72,0.844,141.7969,50.3906,66.67,11.72
7.00,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.06,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.11,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.15,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.21,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.26,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.30,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.36,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.43,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.45,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.51,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.56,66.67,11.72,0.844,142.9688,51.5625,66.67,11.72
7.60,66.67,11.72,0.840,142.9688,51.5625,66.67,11.72
7.66,66.67,11.72,0.836,142.9688,51.5625,66.67,11.72
7.71,66.67,11.72,0.833,142.9688,51.5625,66.67,11.72
7.75,66.67,11.72,0.829,142.9688,51.5625,66.67,11.72
