Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
1.37,66.67,7.03,55236744.376,199.2188,72.6562,66.67,7.03
1.41,66.67,7.03,55210696.376,199.2188,72.6562,66.67,7.03
1.47,66.67,7.03,55226001.072,199.2188,72.6562,66.67,7.03
1.52,66.67,7.03,55256289.176,199.2188,72.6562,66.67,7.03
1.56,66.67,7.03,55280315.904,199.2188,72.6562,66.67,7.03
1.62,66.67,7.03,55304793.984,199.2188,72.6562,66.67,7.03
1.67,66.67,7.03,55289902.272,199.2188,72.6562,66.67,7.03
1.71,85.71,7.03,55289346.816,199.2188,72.6562,85.71,7.03
1.77,85.71,7.03,55358022.456,199.2188,72.6562,85.71,7.03
1.82,85.71,7.03,55743809.176,199.2188,72.6562,85.71,7.03
1.86,85.71,7.03,55252198.496,199.2188,72.6562,85.71,7.03
1.92,85.71,7.03,55221807.256,199.2188,72.6562,85.71,7.03
1.97,85.71,7.03,55237747.224,199.2188,72.6562,85.71,7.03
2.01,85.71,7.03,54666908.384,199.2188,72.6562,85.71,7.03
2.07,85.71,7.03,55682471.548,199.2188,72.6562,85.71,7.03
2.12,85.71,7.03,55856969.696,199.2188,83.2031,85.71,7.03
2.16,85.71,7.03,55953643.856,199.2188,83.2031,85.71,7.03
2.22,85.71,7.03,56043711.504,199.2188,83.2031,85.71,7.03
2.27,85.71,7.03,55711090.028,185.1562,83.2031,85.71,7.03
2.31,85.71,7.03,56072683.392,185.1562,83.2031,85.71,7.03
2.37,85.71,7.03,56212771.692,185.1562,83.2031,85.71,7.03
2.42,85.71,7.03,56323163.688,185.1562,83.2031,85.71,7.03
2.46,85.71,7.03,56576440.536,185.1562,83.2031,85.71,7.03
2.52,85.71,7.03,56112383.316,185.1562,83.2031,85.71,7.03
2.57,85.71,7.03,55786983.208,185.1562,83.2031,85.71,7.03
2.61,85.71,7.03,55417795.180,185.1562,83.2031,85.71,7.03
2.67,85.71,7.03,55219953.976,185.1562,83.2031,85.71,7.03
2.72,85.71,7.03,55367189.548,185.1562,83.2031,85.71,7.03
2.76,85.71,7.03,55439899.548,185.1562,83.2031,85.71,7.03
2.82,85.71,7.03,55528673.464,185.1562,83.2031,85.71,7.03
