Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
1.33,133.33,7.03,3.693,94.9219,46.8750,133.33,7.03
1.45,133.33,7.03,3.388,94.9219,46.8750,133.33,7.03
1.59,133.33,7.03,3.020,94.9219,46.8750,133.33,7.03
1.72,133.33,7.03,2.596,94.9219,46.8750,133.33,7.03
1.86,133.33,7.03,2.090,94.9219,46.8750,133.33,7.03
2.00,133.33,7.03,1.584,94.9219,46.8750,133.33,7.03
2.15,133.33,7.03,1.035,94.9219,46.8750,133.33,7.03
2.26,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
2.41,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
2.53,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
2.65,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
2.78,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
2.92,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
3.04,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
3.58,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
3.71,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
3.84,133.33,7.03,0.439,94.9219,46.8750,133.33,7.03
3.96,100.00,7.03,0.439,94.9219,46.8750,100.00,7.03
4.07,100.00,7.03,0.439,94.9219,46.8750,100.00,7.03
4.21,100.00,7.03,0.470,94.9219,46.8750,100.00,7.03
4.34,100.00,7.03,0.470,94.9219,46.8750,100.00,7.03
4.47,100.00,7.03,0.470,94.9219,46.8750,100.00,7.03
4.59,100.00,7.03,0.470,94.9219,46.8750,100.00,7.03
4.71,100.00,7.03,0.470,94.9219,46.8750,100.00,7.03
4.84,100.00,7.03,0.470,94.9219,46.8750,100.00,7.03
4.96,100.00,7.03,0.470,187.5000,119.5312,100.00,7.03
5.08,100.00,7.03,0.470,187.5000,119.5312,100.00,7.03
5.21,100.00,7.03,0.470,187.5000,119.5312,100.00,7.03
5.35,100.00,7.03,0.470,187.5000,119.5312,100.00,7.03
5.47,100.00,7.03,1.061,187.5000,119.5312,100.00,7.03
5.59,100.00,7.03,1.597,187.5000,119.5312,100.00,7.03
5.71,100.00,7.03,2.099,187.5000,119.5312,100.00,7.03
5.84,100.00,7.03,2.607,187.5000,119.5312,100.00,7.03
6.12,100.00,7.03,3.127,187.5000,119.5312,100.00,7.03
6.43,100.00,7.03,3.645,187.5000,119.5312,100.00,7.03
6.58,100.00,7.03,4.143,187.5000,119.5312,100.00,7.03
6.71,100.00,7.03,4.617,187.5000,119.5312,100.00,7.03
6.85,50.00,9.38,5.095,187.5000,119.5312,50.00,9.38
6.98,50.00,9.38,5.587,187.5000,119.5312,50.00,9.38
7.18,50.00,9.38,6.089,187.5000,119.5312,50.00,9.38
7.30,50.00,9.38,6.601,187.5000,119.5312,50.00,9.38
7.43,50.00,9.38,7.121,187.5000,119.5312,50.00,9.38
7.57,50.00,9.38,7.652,187.5000,119.5312,50.00,9.38
7.73,50.00,9.38,8.203,187.5000,119.5312,50.00,9.38
7.90,50.00,9.38,8.194,187.5000,119.5312,50.00,9.38
8.01,50.00,9.38,7.658,188.6719,119.5312,50.00,9.38
8.13,50.00,9.38,7.156,188.6719,119.5312,50.00,9.38
8.27,50.00,9.38,6.648,188.6719,119.5312,50.00,9.38
8.37,50.00,9.38,6.128,188.6719,98.4375,50.00,9.38
8.50,50.00,9.38,5.610,188.6719,55.0781,50.00,9.38
8.61,50.00,9.38,5.112,188.6719,55.0781,50.00,9.38
8.73,50.00,9.38,5.206,188.6719,55.0781,50.00,9.38
8.85,50.00,9.38,5.280,188.6719,55.0781,50.00,9.38
8.97,50.00,9.38,4.789,188.6719,55.0781,50.00,9.38
9.10,50.00,9.38,4.879,188.6719,55.0781,50.00,9.38
9.23,50.00,9.38,4.966,188.6719,55.0781,50.00,9.38
9.35,50.00,9.38,4.428,188.6719,55.0781,50.00,9.38
9.47,50.00,9.38,3.869,188.6719,55.0781,50.00,9.38
9.59,50.00,9.38,3.318,188.6719,55.0781,50.00,9.38
9.70,50.00,9.38,2.736,188.6719,55.0781,50.00,9.38
9.81,50.00,9.38,2.736,188.6719,55.0781,50.00,9.38
9.93,50.00,9.38,2.736,188.6719,55.0781,50.00,9.38
