Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
3.60,52.17,7.03,0.790,164.0625,50.3906,52.17,7.03
3.65,52.17,7.03,0.790,164.0625,50.3906,52.17,7.03
3.69,52.17,7.03,0.790,164.0625,50.3906,52.17,7.03
3.75,52.17,7.03,0.791,164.0625,50.3906,52.17,7.03
3.80,52.17,7.03,0.791,164.0625,50.3906,52.17,7.03
3.84,52.17,7.03,0.791,164.0625,50.3906,52.17,7.03
3.90,52.17,7.03,0.791,164.0625,50.3906,52.17,7.03
3.95,52.17,7.03,0.791,164.0625,50.3906,52.17,7.03
3.99,52.17,7.03,0.791,164.0625,50.3906,52.17,7.03
4.05,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.12,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.14,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.20,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.25,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.29,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.35,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.40,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.44,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.50,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.55,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.59,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.65,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.70,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.74,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.80,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.85,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.89,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
4.95,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
5.00,52.17,7.03,0.791,162.8906,50.3906,52.17,7.03
5.04,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.10,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.15,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.19,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.25,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.30,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.34,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.40,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.45,52.17,7.03,0.791,126.5625,50.3906,52.17,7.03
5.49,52.17,7.03,0.771,126.5625,50.3906,52.17,7.03
5.55,52.17,7.03,0.750,126.5625,50.3906,52.17,7.03
5.61,52.17,9.38,0.730,126.5625,50.3906,52.17,9.38
5.64,52.17,9.38,0.710,126.5625,50.3906,52.17,9.38
5.70,52.17,9.38,0.689,126.5625,50.3906,52.17,9.38
5.75,52.17,9.38,0.669,126.5625,50.3906,52.17,9.38
5.79,52.17,9.38,0.649,126.5625,50.3906,52.17,9.38
5.85,52.17,9.38,0.628,126.5625,50.3906,52.17,9.38
5.90,52.17,9.38,0.628,126.5625,50.3906,52.17,9.38
5.94,52.17,9.38,0.628,126.5625,50.3906,52.17,9.38
6.00,52.17,9.38,0.628,126.5625,50.3906,52.17,9.38
6.05,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.11,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.15,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.20,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.24,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.30,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.35,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.39,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.45,52.17,9.38,0.628,99.6094,50.3906,52.17,9.38
6.50,100.00,9.38,0.580,99.6094,50.3906,100.00,9.38
6.54,100.00,9.38,0.531,99.6094,50.3906,100.00,9.38
6.60,100.00,9.38,0.483,99.6094,50.3906,100.00,9.38
6.65,100.00,9.38,0.434,99.6094,50.3906,100.00,9.38
6.69,100.00,9.38,0.386,99.6094,50.3906,100.00,9.38
6.75,100.00,9.38,0.338,99.6094,50.3906,100.00,9.38
6.80,100.00,9.38,0.289,99.6094,50.3906,100.00,9.38
6.84,100.00,9.38,0.241,99.6094,50.3906,100.00,9.38
6.90,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
6.94,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
6.99,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.05,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.12,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.14,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.20,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.25,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.29,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.35,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.40,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.44,100.00,9.38,0.241,100.7812,100.7812,100.00,9.38
7.50,100.00,9.38,0.282,100.7812,100.7812,100.00,9.38
7.55,100.00,9.38,0.323,100.7812,100.7812,100.00,9.38
7.61,100.00,9.38,0.365,100.7812,100.7812,100.00,9.38
7.65,100.00,9.38,0.406,100.7812,100.7812,100.00,9.38
7.70,100.00,9.38,0.447,100.7812,100.7812,100.00,9.38
7.74,100.00,9.38,0.489,100.7812,100.7812,100.00,9.38
7.80,100.00,9.38,0.530,100.7812,100.7812,100.00,9.38
7.85,100.00,9.38,0.571,100.7812,100.7812,100.00,9.38
7.89,100.00,9.38,0.571,100.7812,100.7812,100.00,9.38
7.95,100.00,9.38,0.571,100.7812,100.7812,100.00,9.38
8.00,100.00,9.38,0.571,100.7812,100.7812,100.00,9.38
8.04,100.00,9.38,0.571,100.7812,100.7812,100.00,9.38
8.10,100.00,9.38,0.571,100.7812,100.7812,100.00,9.38
8.15,100.00,9.38,0.571,100.7812,100.7812,100.00,9.38
8.19,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.25,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.30,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.34,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.40,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.45,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.49,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.55,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.61,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.64,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.70,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.75,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.79,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.85,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.90,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
8.94,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.00,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.05,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.10,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.15,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.20,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.24,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.30,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.35,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.39,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.45,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.50,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.54,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.60,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.65,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.69,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.75,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.80,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.84,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.90,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.95,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
9.99,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
10.05,100.00,11.72,0.571,100.7812,100.7812,100.00,11.72
