Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.44,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
2.56,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
2.68,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
2.79,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
2.90,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
3.01,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
3.12,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
3.23,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
3.35,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
3.46,70.59,7.03,0.100,153.5156,84.3750,70.59,7.03
3.57,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
3.68,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
3.79,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
3.89,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.00,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.11,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.23,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.35,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.46,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.58,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.70,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.80,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
4.93,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
5.06,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
5.19,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
5.32,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
5.43,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
5.56,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
5.69,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
5.82,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
5.94,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
6.08,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
6.21,70.59,7.03,0.100,210.9375,84.3750,70.59,7.03
6.34,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
6.46,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
6.59,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
6.72,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
6.83,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
6.96,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.07,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.19,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.28,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.39,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.51,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.62,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.73,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.85,70.59,7.03,0.100,210.9375,83.2031,70.59,7.03
7.94,70.59,9.38,0.100,210.9375,83.2031,70.59,9.38
8.07,70.59,9.38,0.100,210.9375,83.2031,70.59,9.38
8.19,70.59,9.38,0.100,210.9375,83.2031,70.59,9.38
8.29,70.59,9.38,0.100,210.9375,83.2031,70.59,9.38
8.42,70.59,9.38,0.100,210.9375,83.2031,70.59,9.38
8.53,70.59,9.38,0.100,210.9375,83.2031,70.59,9.38
8.65,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
8.76,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
8.88,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
8.98,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
9.09,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
9.22,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
9.35,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
9.48,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
9.60,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
9.71,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
9.83,70.59,9.38,0.100,210.9375,82.0312,70.59,9.38
