Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
0.41,70.59,7.03,5.853,132.4219,71.4844,70.59,7.03
0.58,70.59,7.03,7.480,132.4219,71.4844,70.59,7.03
0.75,70.59,7.03,8.339,132.4219,71.4844,70.59,7.03
0.94,70.59,7.03,5.652,132.4219,71.4844,70.59,7.03
1.10,66.67,7.03,4.940,132.4219,71.4844,66.67,7.03
1.32,66.67,7.03,8.065,132.4219,71.4844,66.67,7.03
1.52,66.67,7.03,1.000,132.4219,71.4844,66.67,7.03
1.68,66.67,7.03,7.553,132.4219,71.4844,66.67,7.03
2.16,66.67,7.03,8.328,132.4219,71.4844,66.67,7.03
2.35,66.67,7.03,8.595,132.4219,71.4844,66.67,7.03
2.55,66.67,7.03,9.265,132.4219,71.4844,66.67,7.03
2.71,66.67,7.03,9.968,132.4219,71.4844,66.67,7.03
2.84,66.67,7.03,0.550,132.4219,71.4844,66.67,7.03
2.99,66.67,7.03,0.573,132.4219,71.4844,66.67,7.03
3.16,66.67,7.03,0.598,132.4219,71.4844,66.67,7.03
3.31,66.67,7.03,0.625,131.2500,65.6250,66.67,7.03
3.51,66.67,7.03,0.651,131.2500,65.6250,66.67,7.03
3.66,66.67,7.03,0.666,131.2500,65.6250,66.67,7.03
3.83,66.67,7.03,0.660,131.2500,65.6250,66.67,7.03
4.04,66.67,7.03,0.630,131.2500,65.6250,66.67,7.03
4.21,66.67,7.03,0.574,131.2500,65.6250,66.67,7.03
4.36,66.67,7.03,0.500,131.2500,65.6250,66.67,7.03
4.76,66.67,7.03,0.415,131.2500,65.6250,66.67,7.03
5.19,66.67,7.03,0.325,131.2500,65.6250,66.67,7.03
5.65,66.67,7.03,0.831,131.2500,65.6250,66.67,7.03
6.14,66.67,7.03,0.685,131.2500,65.6250,66.67,7.03
6.62,66.67,7.03,0.437,131.2500,65.6250,66.67,7.03
7.17,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
7.60,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
8.05,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
8.50,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
8.93,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
9.42,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
9.85,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
10.28,66.67,7.03,0.367,131.2500,65.6250,66.67,7.03
10.80,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
11.24,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
11.70,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
12.18,66.67,7.03,0.301,131.2500,65.6250,66.67,7.03
12.64,66.67,7.03,0.658,131.2500,65.6250,66.67,7.03
13.14,66.67,7.03,0.710,131.2500,65.6250,66.67,7.03
13.65,66.67,7.03,0.492,131.2500,65.6250,66.67,7.03
14.14,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
14.64,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
15.13,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
15.61,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
16.11,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
16.59,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
17.09,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
17.59,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
18.06,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
18.57,66.67,7.03,1.000,131.2500,65.6250,66.67,7.03
19.06,66.67,9.38,1.000,131.2500,65.6250,66.67,9.38
19.58,66.67,9.38,1.000,131.2500,65.6250,66.67,9.38
