Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
1.27,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
1.41,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
1.51,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
1.88,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
2.01,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
2.13,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
2.27,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
2.41,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
2.53,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
2.64,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
2.77,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
2.89,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
3.02,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
3.16,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
3.28,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
3.40,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
3.53,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
3.67,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
3.80,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
3.93,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
4.07,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
4.18,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
4.32,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
4.41,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
4.53,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
4.68,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
4.82,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
4.98,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
5.16,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
5.37,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
5.53,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
5.76,133.33,7.03,0.100,94.9219,46.8750,133.33,7.03
5.90,66.67,7.03,0.100,94.9219,46.8750,66.67,7.03
6.14,66.67,7.03,0.100,94.9219,46.8750,66.67,7.03
6.35,66.67,7.03,0.100,94.9219,46.8750,66.67,7.03
6.62,66.67,7.03,0.100,94.9219,46.8750,66.67,7.03
6.79,66.67,7.03,0.100,94.9219,46.8750,66.67,7.03
7.01,66.67,7.03,0.100,94.9219,46.8750,66.67,7.03
7.21,66.67,7.03,0.100,94.9219,46.8750,66.67,7.03
7.41,66.67,7.03,0.100,94.9219,46.8750,66.67,7.03
7.59,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
7.78,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
7.98,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
8.14,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
8.34,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
8.51,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
8.70,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
8.90,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
9.11,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
9.23,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
9.46,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
9.73,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
9.88,66.67,7.03,0.100,226.1719,119.5312,66.67,7.03
