Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.28,133.33,7.03,3.153,94.9219,66.7969,133.33,7.03
2.41,133.33,7.03,3.035,94.9219,66.7969,133.33,7.03
2.52,133.33,7.03,2.921,94.9219,66.7969,133.33,7.03
2.64,133.33,7.03,2.815,94.9219,66.7969,133.33,7.03
2.75,133.33,7.03,2.765,94.9219,66.7969,133.33,7.03
2.86,133.33,7.03,2.709,94.9219,66.7969,133.33,7.03
2.97,133.33,7.03,2.643,94.9219,66.7969,133.33,7.03
3.10,133.33,7.03,2.574,94.9219,66.7969,133.33,7.03
3.22,133.33,7.03,2.510,94.9219,66.7969,133.33,7.03
3.33,133.33,7.03,2.448,94.9219,66.7969,133.33,7.03
3.46,133.33,7.03,2.391,94.9219,66.7969,133.33,7.03
3.59,133.33,7.03,2.397,94.9219,66.7969,133.33,7.03
3.71,54.55,7.03,2.228,94.9219,66.7969,54.55,7.03
3.82,54.55,7.03,2.035,94.9219,66.7969,54.55,7.03
3.92,54.55,7.03,1.936,94.9219,66.7969,54.55,7.03
4.05,54.55,7.03,1.835,94.9219,66.7969,54.55,7.03
4.16,54.55,7.03,1.745,94.9219,66.7969,54.55,7.03
4.27,54.55,7.03,1.651,94.9219,66.7969,54.55,7.03
4.38,54.55,7.03,1.566,94.9219,66.7969,54.55,7.03
4.50,54.55,7.03,1.455,94.9219,66.7969,54.55,7.03
4.61,54.55,7.03,1.387,119.5312,119.5312,54.55,7.03
4.74,54.55,7.03,1.370,119.5312,119.5312,54.55,7.03
4.85,54.55,7.03,1.390,119.5312,119.5312,54.55,7.03
4.96,54.55,7.03,1.433,119.5312,119.5312,54.55,7.03
5.08,54.55,7.03,1.500,119.5312,119.5312,54.55,7.03
5.19,54.55,7.03,1.593,119.5312,119.5312,54.55,7.03
5.31,54.55,7.03,1.792,119.5312,119.5312,54.55,7.03
5.44,54.55,7.03,2.000,119.5312,119.5312,54.55,7.03
5.55,54.55,7.03,2.230,119.5312,119.5312,54.55,7.03
5.66,54.55,7.03,2.366,119.5312,119.5312,54.55,7.03
5.79,54.55,7.03,2.502,119.5312,119.5312,54.55,7.03
5.89,54.55,7.03,2.624,119.5312,119.5312,54.55,7.03
6.02,100.00,7.03,2.747,119.5312,119.5312,100.00,7.03
6.15,100.00,7.03,2.862,119.5312,119.5312,100.00,7.03
6.27,100.00,7.03,2.956,119.5312,119.5312,100.00,7.03
6.40,100.00,9.38,3.029,119.5312,119.5312,100.00,9.38
6.52,100.00,9.38,3.071,119.5312,119.5312,100.00,9.38
6.64,100.00,9.38,3.084,119.5312,119.5312,100.00,9.38
6.77,100.00,9.38,3.072,119.5312,119.5312,100.00,9.38
6.89,100.00,9.38,2.917,119.5312,119.5312,100.00,9.38
7.04,100.00,9.38,2.734,209.7656,119.5312,100.00,9.38
7.16,100.00,9.38,2.639,209.7656,119.5312,100.00,9.38
7.27,100.00,9.38,2.531,209.7656,119.5312,100.00,9.38
7.38,100.00,9.38,2.401,209.7656,87.8906,100.00,9.38
7.50,100.00,9.38,2.249,209.7656,87.8906,100.00,9.38
7.61,100.00,9.38,2.089,209.7656,87.8906,100.00,9.38
7.73,100.00,9.38,1.938,209.7656,87.8906,100.00,9.38
7.85,100.00,9.38,1.806,209.7656,87.8906,100.00,9.38
7.97,100.00,9.38,1.702,209.7656,87.8906,100.00,9.38
8.08,100.00,9.38,1.653,209.7656,87.8906,100.00,9.38
8.19,100.00,9.38,1.649,209.7656,87.8906,100.00,9.38
8.31,100.00,9.38,1.691,209.7656,87.8906,100.00,9.38
8.43,75.00,9.38,1.783,209.7656,87.8906,75.00,9.38
8.54,75.00,9.38,1.944,209.7656,87.8906,75.00,9.38
8.66,75.00,9.38,1.994,209.7656,87.8906,75.00,9.38
8.77,75.00,9.38,2.044,209.7656,87.8906,75.00,9.38
8.90,75.00,9.38,1.985,209.7656,87.8906,75.00,9.38
9.02,75.00,9.38,1.925,209.7656,87.8906,75.00,9.38
9.13,75.00,9.38,1.873,209.7656,87.8906,75.00,9.38
9.24,75.00,9.38,1.838,209.7656,87.8906,75.00,9.38
9.36,75.00,9.38,1.762,213.2812,87.8906,75.00,9.38
9.49,75.00,9.38,1.688,213.2812,87.8906,75.00,9.38
9.61,75.00,9.38,1.606,213.2812,87.8906,75.00,9.38
9.74,75.00,9.38,1.515,213.2812,86.7188,75.00,9.38
9.86,75.00,9.38,1.397,213.2812,86.7188,75.00,9.38
9.97,75.00,9.38,1.250,213.2812,86.7188,75.00,9.38
