Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.33,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.38,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.43,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.50,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.54,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.58,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.65,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.69,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.73,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.80,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.86,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.88,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.95,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
2.98,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.03,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.10,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.13,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.18,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.24,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.29,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.34,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.40,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.43,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.47,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.54,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.59,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.63,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.69,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.74,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.77,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.85,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.88,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.93,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
3.99,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
4.04,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
4.09,92.31,7.03,0.350,187.5000,90.2344,92.31,7.03
4.15,54.55,7.03,0.350,187.5000,90.2344,54.55,7.03
4.18,54.55,7.03,0.350,187.5000,90.2344,54.55,7.03
4.22,54.55,7.03,0.350,187.5000,90.2344,54.55,7.03
4.29,54.55,7.03,0.350,187.5000,90.2344,54.55,7.03
4.35,54.55,7.03,0.513,187.5000,90.2344,54.55,7.03
4.38,54.55,7.03,0.513,187.5000,90.2344,54.55,7.03
4.45,54.55,7.03,0.513,187.5000,90.2344,54.55,7.03
4.48,54.55,9.38,0.513,187.5000,90.2344,54.55,9.38
4.52,54.55,9.38,0.513,187.5000,103.1250,54.55,9.38
4.60,54.55,9.38,0.513,187.5000,103.1250,54.55,9.38
4.63,54.55,9.38,0.513,187.5000,103.1250,54.55,9.38
4.68,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
4.74,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
4.79,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
4.85,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
4.90,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
4.93,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
4.98,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
5.05,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
5.08,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
5.13,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
5.19,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
5.24,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
5.28,54.55,9.38,0.513,172.2656,103.1250,54.55,9.38
5.35,54.55,9.38,0.404,172.2656,103.1250,54.55,9.38
5.38,54.55,9.38,0.404,172.2656,103.1250,54.55,9.38
5.43,54.55,9.38,0.404,172.2656,103.1250,54.55,9.38
5.49,54.55,9.38,0.404,172.2656,103.1250,54.55,9.38
5.54,54.55,9.38,0.404,172.2656,103.1250,54.55,9.38
5.59,54.55,9.38,0.404,172.2656,103.1250,54.55,9.38
5.64,54.55,9.38,0.404,172.2656,103.1250,54.55,9.38
5.69,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
5.72,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
5.79,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
5.87,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
5.89,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
5.95,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
5.98,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
6.03,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
6.10,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
6.13,54.55,9.38,0.404,168.7500,90.2344,54.55,9.38
