Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
1.99,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.04,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.10,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.14,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.19,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.25,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.29,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.34,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.40,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.44,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.51,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.55,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.59,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.64,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.70,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.74,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.79,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.85,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.89,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
2.94,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.00,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.04,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.09,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.15,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.19,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.24,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.30,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.34,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.39,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.45,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.54,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.54,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.60,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.64,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.69,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.75,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.79,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.84,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.90,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.94,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
3.99,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
4.05,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
4.09,133.33,7.03,1.000,187.5000,119.5312,133.33,7.03
4.14,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.20,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.24,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.29,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.35,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.39,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.44,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.50,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.54,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.59,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.65,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.69,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.74,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.80,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.84,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.89,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
4.95,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
5.04,133.33,9.38,1.000,187.5000,119.5312,133.33,9.38
