Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
0.04,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
0.23,133.33,7.03,0.344,94.9219,46.8750,133.33,7.03
0.41,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
0.57,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
0.73,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
0.89,133.33,7.03,0.339,94.9219,46.8750,133.33,7.03
1.08,133.33,7.03,0.827,94.9219,46.8750,133.33,7.03
1.26,133.33,7.03,1.046,94.9219,46.8750,133.33,7.03
1.44,133.33,7.03,0.803,94.9219,46.8750,133.33,7.03
1.63,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
1.83,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
2.01,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
2.19,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
2.36,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
2.80,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
2.97,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.16,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.31,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.45,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.61,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.80,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
3.98,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
4.14,133.33,7.03,0.303,94.9219,46.8750,133.33,7.03
4.30,133.33,7.03,0.384,94.9219,46.8750,133.33,7.03
4.51,133.33,7.03,0.435,94.9219,46.8750,133.33,7.03
5.02,133.33,7.03,0.451,94.9219,46.8750,133.33,7.03
5.53,133.33,7.03,0.438,94.9219,46.8750,133.33,7.03
6.04,133.33,7.03,0.399,94.9219,46.8750,133.33,7.03
6.58,133.33,7.03,0.339,94.9219,46.8750,133.33,7.03
7.08,133.33,7.03,1.339,94.9219,46.8750,133.33,7.03
7.55,133.33,7.03,1.334,94.9219,46.8750,133.33,7.03
8.03,133.33,7.03,1.159,94.9219,46.8750,133.33,7.03
8.52,133.33,7.03,0.916,94.9219,46.8750,133.33,7.03
8.98,133.33,7.03,0.655,94.9219,46.8750,133.33,7.03
9.46,133.33,7.03,0.385,94.9219,46.8750,133.33,7.03
9.93,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
10.40,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
10.90,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
11.37,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
11.87,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
12.34,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
12.85,133.33,7.03,1.000,94.9219,46.8750,133.33,7.03
13.35,133.33,9.38,1.000,94.9219,46.8750,133.33,9.38
13.88,133.33,9.38,1.000,94.9219,46.8750,133.33,9.38
14.40,133.33,9.38,1.000,94.9219,46.8750,133.33,9.38
14.92,133.33,9.38,1.000,94.9219,46.8750,133.33,9.38
15.50,133.33,9.38,0.319,94.9219,46.8750,133.33,9.38
16.05,133.33,9.38,0.409,94.9219,46.8750,133.33,9.38
16.54,133.33,9.38,1.000,94.9219,46.8750,133.33,9.38
17.08,133.33,9.38,1.000,94.9219,46.8750,133.33,9.38
17.58,133.33,9.38,1.000,94.9219,46.8750,133.33,9.38
18.10,133.33,9.38,0.489,94.9219,46.8750,133.33,9.38
18.65,133.33,9.38,0.625,94.9219,46.8750,133.33,9.38
19.17,133.33,9.38,0.544,94.9219,46.8750,133.33,9.38
19.70,133.33,9.38,0.331,94.9219,46.8750,133.33,9.38
