Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.60,133.33,7.03,0.100,185.1562,110.1562,133.33,7.03
2.74,133.33,7.03,0.100,185.1562,110.1562,133.33,7.03
2.86,109.09,7.03,0.100,185.1562,110.1562,109.09,7.03
2.98,109.09,7.03,0.100,185.1562,110.1562,109.09,7.03
3.08,109.09,7.03,0.100,185.1562,110.1562,109.09,7.03
3.23,109.09,7.03,0.100,185.1562,110.1562,109.09,7.03
3.34,109.09,7.03,0.100,185.1562,110.1562,109.09,7.03
3.45,109.09,7.03,0.100,185.1562,110.1562,109.09,7.03
3.57,109.09,7.03,0.100,185.1562,110.1562,109.09,7.03
3.68,109.09,7.03,0.100,185.1562,110.1562,109.09,7.03
3.80,109.09,7.03,0.100,185.1562,112.5000,109.09,7.03
3.92,109.09,7.03,0.100,185.1562,112.5000,109.09,7.03
4.05,109.09,7.03,0.100,185.1562,112.5000,109.09,7.03
4.16,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
4.28,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
4.41,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
4.53,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
4.72,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
4.87,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
5.08,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
5.22,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
5.42,109.09,7.03,0.100,112.5000,112.5000,109.09,7.03
5.61,63.16,7.03,0.100,112.5000,112.5000,63.16,7.03
5.83,63.16,7.03,0.100,112.5000,112.5000,63.16,7.03
6.03,63.16,7.03,0.100,112.5000,112.5000,63.16,7.03
6.17,63.16,7.03,0.100,112.5000,112.5000,63.16,7.03
6.36,63.16,7.03,0.100,112.5000,112.5000,63.16,7.03
6.58,63.16,7.03,0.100,112.5000,112.5000,63.16,7.03
6.70,63.16,7.03,0.100,112.5000,112.5000,63.16,7.03
6.89,63.16,7.03,0.100,112.5000,112.5000,63.16,7.03
7.07,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
7.25,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
7.42,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
7.63,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
7.78,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
7.95,63.16,7.03,0.109,116.0156,116.0156,63.16,7.03
8.08,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
8.22,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
8.36,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
8.51,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
8.65,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
8.78,63.16,7.03,0.100,116.0156,116.0156,63.16,7.03
8.94,120.00,7.03,0.100,116.0156,116.0156,120.00,7.03
9.11,120.00,7.03,0.100,116.0156,116.0156,120.00,7.03
9.33,120.00,7.03,0.100,116.0156,116.0156,120.00,7.03
9.52,120.00,7.03,0.100,116.0156,116.0156,120.00,7.03
9.67,120.00,7.03,0.100,116.0156,116.0156,120.00,7.03
9.86,120.00,7.03,0.100,116.0156,116.0156,120.00,7.03
9.98,120.00,7.03,0.100,116.0156,116.0156,120.00,7.03
