Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
0.00,52.17,14.06,0.100,166.4062,62.1094,52.17,14.06
0.14,52.17,14.06,0.100,166.4062,62.1094,52.17,14.06
0.28,133.33,14.06,0.100,0.0000,0.0000,133.33,0.00
0.42,133.33,14.06,0.100,0.0000,0.0000,133.33,0.00
0.55,133.33,14.06,0.100,0.0000,0.0000,133.33,0.00
0.68,133.33,14.06,0.100,0.0000,0.0000,133.33,0.00
0.81,133.33,14.06,0.100,0.0000,0.0000,133.33,0.00
0.95,133.33,14.06,0.100,0.0000,0.0000,133.33,0.00
1.08,133.33,14.06,0.100,94.9219,46.8750,133.33,0.00
1.20,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
1.33,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
1.48,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
1.59,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
1.73,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
1.84,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
1.98,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
2.10,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
2.24,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
2.38,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
2.53,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
2.65,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
2.76,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
2.91,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
3.04,133.33,14.06,0.100,94.9219,46.8750,133.33,2.34
3.21,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
3.38,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
3.54,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
3.67,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
3.83,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
4.01,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
4.16,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
4.31,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
4.48,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
4.64,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
4.83,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
4.99,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
5.13,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
5.26,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
5.37,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
5.53,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
5.67,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
5.81,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
5.97,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
6.11,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
6.25,133.33,14.06,0.100,142.9688,119.5312,133.33,2.34
6.38,54.55,14.06,0.100,155.8594,85.5469,54.55,4.69
6.54,54.55,14.06,0.100,164.0625,85.5469,54.55,4.69
6.70,54.55,14.06,0.100,164.0625,85.5469,54.55,4.69
6.86,54.55,14.06,0.100,164.0625,85.5469,54.55,4.69
7.03,54.55,14.06,0.100,164.0625,66.7969,54.55,4.69
7.18,54.55,14.06,0.100,164.0625,66.7969,54.55,4.69
7.31,54.55,7.03,0.100,164.0625,66.7969,54.55,7.03
7.42,54.55,7.03,0.100,164.0625,66.7969,54.55,7.03
7.53,54.55,7.03,0.100,164.0625,66.7969,54.55,7.03
7.64,54.55,7.03,0.100,164.0625,66.7969,54.55,7.03
7.76,54.55,7.03,0.100,164.0625,66.7969,54.55,7.03
7.88,54.55,7.03,0.100,164.0625,66.7969,54.55,7.03
8.00,54.55,7.03,0.100,164.0625,66.7969,54.55,7.03
8.11,57.14,7.03,0.100,164.0625,66.7969,57.14,7.03
8.22,57.14,7.03,0.100,164.0625,66.7969,57.14,7.03
8.33,57.14,7.03,0.100,164.0625,66.7969,57.14,7.03
8.46,57.14,7.03,0.100,164.0625,66.7969,57.14,7.03
8.58,57.14,7.03,0.100,164.0625,66.7969,57.14,7.03
8.70,57.14,7.03,0.100,164.0625,66.7969,57.14,7.03
8.83,57.14,7.03,0.100,164.0625,66.7969,57.14,7.03
8.95,57.14,7.03,0.100,164.0625,66.7969,57.14,7.03
9.08,75.00,9.38,0.100,97.2656,51.5625,75.00,9.38
9.20,75.00,9.38,0.100,97.2656,51.5625,75.00,9.38
9.33,75.00,9.38,0.100,97.2656,51.5625,75.00,9.38
9.48,75.00,9.38,0.100,97.2656,51.5625,75.00,9.38
9.60,75.00,9.38,0.100,97.2656,51.5625,75.00,9.38
9.71,75.00,9.38,0.100,97.2656,51.5625,75.00,9.38
9.84,75.00,9.38,0.100,97.2656,51.5625,75.00,9.38
9.95,75.00,9.38,0.100,97.2656,51.5625,75.00,9.38
