Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.92,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
3.06,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
3.22,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
3.37,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
3.55,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
3.71,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
3.86,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
4.03,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
4.19,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
4.35,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
4.52,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
4.69,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
4.86,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
5.01,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
5.20,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
5.36,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
5.53,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
5.71,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
5.86,80.00,7.03,0.600,159.3750,79.6875,80.00,7.03
6.01,80.00,7.03,0.600,159.3750,83.2031,80.00,7.03
6.17,80.00,7.03,0.600,159.3750,83.2031,80.00,7.03
6.33,80.00,7.03,0.600,159.3750,83.2031,80.00,7.03
6.48,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
6.64,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
6.81,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
6.97,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
7.14,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
7.28,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
7.42,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
7.56,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
7.71,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
7.86,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
8.00,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
8.14,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
8.29,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
8.44,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
8.58,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
8.75,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
8.90,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
9.07,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
9.22,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
9.35,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
9.50,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
9.64,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
9.79,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
9.95,80.00,7.03,0.600,157.0312,83.2031,80.00,7.03
