Time,HeartRate_BPM,RespirationRate_BPM,Range_m,HeartWaveform,BreathWaveform,HeartRate_FFT,BreathRate_FFT
2.16,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
2.30,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
2.41,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
2.61,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
2.79,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
2.92,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
3.05,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
3.18,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
3.31,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
3.42,100.00,7.03,0.100,107.8125,107.8125,100.00,7.03
3.55,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
3.66,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
3.91,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
4.02,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
4.13,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
4.27,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
4.38,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
4.51,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
4.64,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
4.76,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
4.93,109.09,7.03,0.100,107.8125,107.8125,109.09,7.03
5.06,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
5.19,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
5.32,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
5.46,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
5.62,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
5.76,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
5.89,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
6.02,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
6.17,109.09,7.03,0.100,106.6406,106.6406,109.09,7.03
6.30,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
6.43,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
6.58,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
6.72,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
6.84,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
6.97,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
7.11,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
7.24,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
7.39,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
7.52,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
7.65,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
7.80,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
7.95,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
8.08,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
8.22,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
8.37,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
8.51,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
8.63,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
8.77,54.55,7.03,0.100,106.6406,106.6406,54.55,7.03
8.90,54.55,9.38,0.100,106.6406,106.6406,54.55,9.38
9.03,54.55,9.38,0.100,106.6406,106.6406,54.55,9.38
9.16,54.55,9.38,0.100,106.6406,106.6406,54.55,9.38
9.32,54.55,9.38,0.100,106.6406,106.6406,54.55,9.38
9.46,54.55,9.38,0.100,106.6406,106.6406,54.55,9.38
9.58,54.55,9.38,0.100,106.6406,106.6406,54.55,9.38
9.73,54.55,9.38,0.100,106.6406,106.6406,54.55,9.38
9.88,54.55,9.38,0.100,106.6406,106.6406,54.55,9.38
